lemma,roleset_id,role,description
assume,assume.01,ARG2,acquired-from
assume,assume.01,ARG3,price paid
assume,assume.01,ARG4,benefactive
assume,assume.02,ARG0,Thinker
assume,assume.02,ARG1,Thought
assume,assume.02,ARG2,Attributive
assure,assure.01,ARG0,causer of assurance
assure,assure.01,ARG1,assured one
assure,assure.01,ARG2,"assurance, utterance"
astound,astound.01,ARG0,causer
astound,astound.01,ARG1,experiencer
atone,atone.01,ARG0,"atoner, sinner, agent"
atone,atone.01,ARG1,sins
attach,attach.01,ARG0,"agent, entity causing two objects to be attached"
attach,attach.01,ARG1,"patient, thing(s) being tied"
attach,attach.01,ARG2,instrument
attack,attack.01,ARG0,attacker
attack,attack.01,ARG1,entity attacked
attack,attack.01,ARG2,attribute
attain,attain.01,ARG0,"reacher, agent"
attain,attain.01,ARG1,entity attained
attempt,attempt.01,ARG0,Agent/Entity Trying
attempt,attempt.01,ARG1,thing tried
attend,attend.01,ARG0,thing attending
attend,attend.01,ARG1,thing attended
attest,attest.01,ARG0,"attestor, agent"
attest,attest.01,ARG1,thing attested
attract,attract.01,ARG0,attractor
attract,attract.01,ARG1,thing attracted
attract,attract.01,ARG2,"thing attracted to, if separate from attractor"
attract,attract.01,ARG3,"instrument, if separate from attractor"
attribute,attribute.01,ARG0,attributor
attribute,attribute.01,ARG1,"thing attributed, attribute"
attribute,attribute.01,ARG2,attributed to (benefactive?)
auction_off,auction.01,ARG0,seller
auction_off,auction.01,ARG1,sold
auction_off,auction.01,ARG2,highest bidder
auction_off,auction.01,ARG3,Price Paid
auction_off,auction.01,ARG4,Benefactive
auction,auction.02,ARG0,seller
auction,auction.02,ARG1,sold
auction,auction.02,ARG2,highest bidder
auction,auction.02,ARG3,Price Paid
auction,auction.02,ARG4,Benefactive
audit,audit.01,ARG0,auditor
audit,audit.01,ARG1,audited
audition,audition.01,ARG0,auditionee
audition,audition.01,ARG1,role
audition,audition.01,ARG2,casting agency
augment,augment.01,ARG0,"augmentor, agent"
augment,augment.01,ARG1,entity augmented
augment,augment.01,ARG2,ammount augmented by
author,author.01,ARG0,"author, agent"
author,author.01,ARG1,text authored
authorize,authorize.01,ARG0,allower
authorize,authorize.01,ARG1,action allowed
authorize,authorize.01,ARG2,explicit allowed-agent
authorize,authorize.01,ARG3,purpose
autograph,autograph.01,ARG0,"celebrity, autographer, agent"
autograph,autograph.01,ARG1,entity autographed
automate,automate.01,ARG0,"causer of automation, agent"
automate,automate.01,ARG1,entity automated
avenge,avenge.01,ARG0,"avenger, agent"
avenge,avenge.01,ARG1,a perceived wrong
aver,aver.01,ARG0,"agent, speaker"
aver,aver.01,ARG1,proposition held to be true
average,average.01,ARG0,"agent, person computing the average"
average,average.01,ARG1,entity averaged out
average,average.01,ARG2,amount
average,average.01,ARG3,scale
avert,avert.01,ARG0,"stopper, Agent"
avert,avert.01,ARG1,Theme (action or object being prevented)
avert,avert.01,ARG2,thing being avoided
avert,avert.01,ARG3,instrument
avoid,avoid.01,ARG0,avoider
avoid,avoid.01,ARG1,thing avoided
await,await.01,ARG1,"wait-er (not waiter, that's a different sense)"
await,await.01,ARG2,thing waited for
await,await.01,ARGM,period of time waited through
awake,awake.01,ARG1,entity awake
awake,awake.01,ARG2,entity becoming aware of
awaken,awaken.01,ARG0,"causer of waking, agent"
awaken,awaken.01,ARG1,entity awake
awaken,awaken.01,ARG2,entity becoming aware of
award,award.01,ARG0,giver
award,award.01,ARG1,award
award,award.01,ARG2,benefactive
back,back.01,ARG0,supporter
back,back.01,ARG1,thing being supported
back,back.02,ARG0,causer of backwards motion
back,back.02,ARG1,entity in motion
back,back.03,ARG0,"looker, facer"
back,back.03,ARG1,"looked at, faced"
back_up,back.04,ARG0,supporter
back_up,back.04,ARG1,thing being supported
back_up,back.06,ARG0,causer of backwards motion
back_up,back.06,ARG1,entity in motion
back_up,back.08,ARG0,"looker, facer"
back_up,back.08,ARG1,"looked at, faced"
back_up,back.09,ARG0,"preserver, agent"
back_up,back.09,ARG1,data
back_up,back.09,ARG2,permanent storage device
back_up,back.10,ARG1,traffic
backfire,backfire.01,ARG1,thing with bad result
backfire,backfire.01,ARG2,'benefactive'
backpedal,backpedal.01,ARG0,"entity retreating, agent"
backpedal,backpedal.01,ARG1,thing backpedaled on
backslap,backslap.01,ARG0,backslapper
bail_out,bail.01,ARG0,"abadoner, agent"
bail_out,bail.01,ARG1,project or enterprise
bail_out,bail.02,ARG0,"agent, causer"
bail_out,bail.02,ARG1,entity released
bail_out,bail.02,ARG2,situation
balance,balance.01,ARG0,"balancer, agent"
balance,balance.01,ARG1,thing balanced
balance,balance.01,ARG2,in comparison to
balk,balk.01,ARG0,balker
balk,balk.01,ARG1,"balk at, cause of hesitation"
balloon,balloon.01,ARG0,"balloonist, agent"
balloon,balloon.02,ARG0,"agent, causer"
balloon,balloon.02,ARG1,entity increased
balloon,balloon.02,ARG2,endstate
ballyhoo,ballyhoo.01,ARG0,advertiser
ballyhoo,ballyhoo.01,ARG1,ad
ban,ban.01,ARG0,"lawgiver, usually"
ban,ban.01,ARG1,action prohibited
ban,ban.01,ARG2,secondary agent
band.01,band.01,ARG0,"causer of banding together, agent"
band.01,band.01,ARG1,first (or all) thing(s) attached
band.01,band.01,ARG2,"other things, if present/separate"
band.01,band.01,ARG3,attribute of patients
bandy_about,bandy.01,ARG0,"discusser(s), agent"
bandy_about,bandy.01,ARG1,topic
bang,bang.01,ARG0,thing emitting noise
bang,bang.02,ARG0,"striker, agent"
bang,bang.02,ARG1,thing hit
bang,bang.02,ARG2,attribute of arg1
banish,banish.01,ARG0,"banisher, agent"
banish,banish.01,ARG1,entity expelled
banish,banish.01,ARG2,expelled from
bank,bank.01,ARG0,"putter, agent"
bank,bank.01,ARG1,money
bank,bank.01,ARG2,bank
bank,bank.02,ARG0,pilot
bank,bank.02,ARG1,aeroplane
bankroll,bankroll.01,ARG0,financ(i)er
bankroll,bankroll.01,ARG1,thing financed
bankroll,bankroll.01,ARG2,money
bankrupt,bankrupt.01,ARG0,causer
bankrupt,bankrupt.01,ARG1,person bankrupt
bar,bar.01,ARG0,"stopper, Agent"
bar,bar.01,ARG1,action or object being prevented
bar,bar.01,ARG2,secondary predication on action
bar,bar.01,ARG3,instrument
barb,barb.01,ARG0,causer of barbedness
barb,barb.01,ARG1,barbed thing
bare,bare.01,ARG0,"causer, agent"
bare,bare.01,ARG1,thing now uncovered
bargain,bargain.01,ARG0,"negotiator, agent"
bargain,bargain.01,ARG1,thing bargained for
bargain,bargain.01,ARG2,"co-negotiator, bargained with"
barge,barge.01,ARG0,entity in motion
barge,barge.01,ARG1,"path, destination"
bark,bark.01,ARG0,barker
bark,bark.01,ARG1,utterance
bark,bark.01,ARG2,hearer
bark_up_the_wrong_tree,bark.02,ARG0,barker
barrel,barrel.01,ARG1,thing in motion
barrel,barrel.01,ARG2,"direction, destination"
barter,barter.01,ARG0,"agent, entity trading"
barter,barter.01,ARG1,thing being traded (away)
barter,barter.01,ARG2,other exchanger
barter,barter.01,ARG3,"other item in exchange, price, or premium, traded for or at"
base,base.01,ARG1,institution
base,base.01,ARGM,location
base,base.02,ARG0,"justifier, agent (rarely seen)"
base,base.02,ARG1,decision
base,base.02,ARG2,justification
